ApplicationNumber,ApprovalNumber,HotelName,Address,City,State,NodalOfficerName,MobileNumber,PhoneNumber,Email,Website,Category,SubCategory,TotalRooms,StartDate,ExpiryDate
101118AS5590,190824AS5880,MAYFAIR LAKE RESORT,"VILL: TUTA, TEHSIL:ABHANPUR, SECTOR-24, ATAL NAGAR, RAIPUR, P.S.: RAKHI P.S., CHHATTISGARH-492002 492002",Raipur,Chattisgarh,BIJU JOHN,9238400916,9238413053,biju.john@mayfairhotels.com,mayfairhotels.com,Star Category,5 Star With Alcohol,233,05/08/2019,04/08/2024
170316ASD906,0101013SA511,Chandra De Goa,"Survey No. 155/1-F and 155/1-E, Arpora Bardez Goa 403518",Arpora,Goa,Gopal Pariani,9322341836,9322341836,hari_om_goa@yahoo.co.in,,Star Category,3 Star,37,15/07/2016,14/07/2021
240116AS3546,0101013SA363,IBIS HOTEL- GOA (UNIT OF INTERGLOBE HOTELS PRIVATE LIMITED),"Plot No: 166-7, K - 10, (opp. to Calangute Ground), Next to Alor Hotel, Naikawaddo, Calangute, Bardez, Goa - 403 516. India 403516",Bardez,Goa,Lionel Arthur LEO,9840961533,911244392900,leolionel@yahoo.com,www.interglobehotels.com,Star Category,3 Star,197,27/06/2016,26/06/2021
040119AS4765,190224AS4595,Hotel The Palace,"Sy. No.245-1-A, Vagator, Anjuna 403509",Bardez,Goa,Sanjeev Maheshwari,9811622786,011-41671002,sanjeevreena90@yahoo.com,thepalace.in,Star Category,4 Star With Alcohol,51,22/02/2019,21/02/2024
130616AS4280,170522AS4006,OZRAN HEIGHTS BEACH RESORTS,"SURVEY NO.208 PLOT NO.3, VAGATOR, ANJUNA BARDEZ TALUKA 403401",Bardez,Goa,MR JAGMOHAN SINGH KOHLI,9810027232,9689422997,jskohli073@gmail.com,www.ozranheights.com,Star Category,4 Star With Alcohol,22,29/05/2017,28/05/2022
200318AS5850,180823AS5297,SINQ PRIVÉ,"Sinq Beach Club, H.No.113-113A, Opposite Vivanta by Taj Holiday Village, Candolim, Bardez, Goa.  403515",Bardez,Goa,ABHIJIT GAONKAR,9923826302,9923826302,cs.abhi@rediffmail.com,,Star Category,5 Star With Alcohol,38,02/08/2018,01/08/2023
280818AS4422,180923AS4343,FFM CALANGUTE GOA,"Survey Number 105, Sub Division No. 1, Gaura Vaddo, Calangute, Goa 403516",Calangute,Goa,Mr Jaspal,9910233396,01126183225,veeragroup@gmail.com,www.veeragroup.com,Star Category,4 Star With Alcohol,131,04/09/2018,03/09/2023
051015AS5879,0101015SA220,"Aloft Calangute Goa, a unit of Models Leisure Ventures","Gauravaddo, Calangute, Bardez Goa 403516",Calangute,Goa,Harsha Devraj,9168777729,9168777729,harsha.devraj@aquaresorts.in,,Star Category,5 Star With Alcohol,145,06/05/2016,05/05/2021
021116AS5108,170622AS5008,Double Tree by Hilton by Goldfinch Resorts Pvt Ltd,"Goldfinch Resorts Pvt Ltd, Sy.No 34-1- B, Near Sai Baba Temple, Panjim to Old Goa Bypass Road, Chimbel Village, Tiswadi Taluk, North Goa District, 403006 403006",Panaji,Goa,Anand Dilip Rai,7760976604,08049195100,avp.spn@groupmrg.com,www.groupmrg.com,Star Category,5 Star With Alcohol,160,20/06/2017,19/06/2022
190118AS5634,180923AS5383,NOVOTEL,"PLOT NO.36, PATTO PLAZA, PANAJI- GOA,403001 403001",Panaji,Goa,KETAN DESSAI,8888960252,8888960252,pm2@wal-l.in,,Star Category,5 Star With Alcohol,125,26/09/2018,25/09/2023
180317ASW454,180323ASW038,BINORI HOTELS PVT.LTD.,"22.1.B. NEAR MUKTIDHAM, THALTEJ CROSS ROAD, S.G.HIGHWAY,AHMEDABAD.-380054  380054",Ahmedabad,Gujarat,RAJESH SHARMA,9824064766,9824064766,sanjaytiwari@dheshipping.com,,Star Category,4 Star Without Alcohol,69,02/03/2018,01/03/2023
010916ASW853,010101WSA015,eulogia inn llp,"Behind Silver Gardenia Appartment Opp. SafalVivan Banglow ,Near Gota bridge, Gota,Ahmedabad - 382481",Ahmedabad,Gujarat,hitesh shah,9979886737,02717242224,hiteshshah_76@yahoo.com,www.eulogiainn.com,Star Category,4 Star Without Alcohol,45,27/10/2016,26/10/2021
100319ASW258,161021ASW622,EULOGIA INN LLP,"Beside Prime Status, Opp. Safal Vivan Bungalows,Devnagar, Gota, S.G.Highway  382481",Ahmedabad,Gujarat,MR. ALPESH PATEL,7211198891,02717242224,info@eulogiainn.com,www.eulogiainn.com,Star Category,4 Star Without Alcohol,45,27/10/2016,26/10/2021
180216AS5695,0101015SA211,HIRISE HOSPITALITY PRIVATE LIMITED,"1109, SAFAL PRELUDE, CORPORATE ROAD, PRAHLADNAGAR, AHMEDABAD-380015 380015",Ahmedabad,Gujarat,MR TANMAY BATHWAL,9712472337,07940303666,contact@hirisehospitality.com,,Star Category,5 Star With Alcohol,199,27/04/2016,26/04/2021
310318ASA905,190624ASA803,SANKALP IN,"Near Ornet Park 2, Opp Montecristo Banquet, Sindhu Bhavan Road, Nr S P Ring Road",Ahmedabad,Gujarat,Mr. Kailash R Goenka,9824064766,79-27542471,sanjaytiwari@dheshipping.com,sankalponline.com,Star Category,5 Star Without Alcohol,167,28/06/2019,27/06/2024
221117ASA476,190224ASA577,WEST INDIA RECREATION PROJECT PRIVATE LIMITED,"GIFT INTERNATIONAL CENTRE, Building ID No.- Block No. 38 Zone 3 Road Tapas Marg, Gujarat International Fiance Tech. (GIFT) City, Gujarat 382011",Ahmedabad,Gujarat,VIKRAM S KHURANA,9879539328,079-30014418,rd@groupwestindia.com,,Star Category,5 Star Without Alcohol,98,11/02/2019,10/02/2024
200416ASA119,010101ASA512,iscon club and resort ms iscon hotels p ltd,"near sundarvas bunglow, jewel circle  364003",Bhavnagar,Gujarat,venkatramana g,9099905570,,venkatg@iscongroup.com,www.theisconclub.com,Star Category,5 Star Without Alcohol,55,19/07/2016,18/07/2021
190616AS4319,170622ASW006,BLUE ROCK HOSPITALITY VENTURES PRIVATE LIMITED - MERCURE HOTEL,"SURVEY NO.153-1, PAIKI 3, STATE HIGHWAY NO. 6, VILLAGE - BARADIYA, TALUKA- OKHA MANDAL, DISTRICT - DEVBHUMI DWARKA 361335",Dwarka,Gujarat,SITARAM CHURIWALA,9892728290,9892728290,churiwalas@gmail.com,www.bluerockhospitality.com,Star Category,4 Star Without Alcohol,98,20/06/2017,19/06/2022
150717ASA123,190124ASA528,Dwarka Lifestyle Resorts P. Ltd.,"Badadiya Road, near Somnath Dwarka main road, Devbhumi Dwarka.  336133",Dwarka,Gujarat,amit israni,9909914876,9909914876,amit.israni@pacificacompanies.com,,Star Category,5 Star Without Alcohol,68,12/01/2019,11/01/2024
250917AS3320,180123AS3005,"Ibis Styles, GIFT City","GIFT City, Block No. 53, Building No. 53 F, Zone 5, Road 5 C, Gandhinagar, Gujarat- 382355. 382355",Gandhinagar,Gujarat,Saptarshi Pathak,7022623490,08041379200,saptarshi@brigadegroup.com,,Star Category,3 Star,158,01/02/2018,31/01/2023
041018AS5514,190124ASA550,"Grand Mercure, GIFT City","GIFT City, Block No. 53, Building No. 53F, Zone 5, Road 5C,  382355",Gandhinagar,Gujarat,Saptarshi Pathak,7022623490,08040438000,saptarshi@brigadegroup.com,www.brigadegroup.com,Star Category,5 Star Without Alcohol,157,28/01/2019,27/01/2024
030816ASA733,170622ASA007,HOTEL FAIRFIELD INN BY MARRIOTT,"Plot X2, Sub Plot 19,GIDC, Ichhapore,Village Bhatpore, Surat 394510",Surat,Gujarat,Nayan Banker,9099973004,02616697000,nbanker@jhminternational.com,www.jhmhotels.com,Star Category,5 Star Without Alcohol,133,20/06/2017,19/06/2022
190116AS3516,0101013SA185,AL-NAFEA HOSPITALITY PRIVATE LIMITED,"PLOT NO. 12, SHREE NIKETAN SOCIETY, OPPOSITE HOTEL SANMAN, JETALPUR ROAD, VADODARA. 390007",Vadodara,Gujarat,Mr. Rishi tiwari,9898278586,9898278586,dhegroupamd@gmail.com,,Star Category,3 Star,30,18/03/2016,17/03/2021
211117AS3470,150820AS3003,Eastin Residences Vadodara,"78 Sampatrao Colony, Off RC Dutt Road, Alkapuri 390007",Vadodara,Gujarat,Mr. Arjun Patel,9821802635,02656707777,arjun@paramounthospitality.in,www.eastinvadodara.com,Star Category,3 Star,44,25/08/2015,23/08/2020
011015AS3872,0101013SA442,PROMENADE HOSPITALITY PVT LTD,"SUB PLOT No 45,R.S. NO 19 -PART, OPP GATEWAY HOTEL, NR AKOTA GARDEN, AKOTA. 390020",Vadodara,Gujarat,MR MUNJAL THAKKAR,9925032519,2323456,munjal.thakkar@promenadehospitality.com,www.promenadehospitality.com,Star Category,3 Star,87,05/07/2016,04/07/2021
100216AS3642,0101013SA687,VADPADRAKA HOTEL & RESORT,"VADPADRAKA HOTEL & RESORT, SURVEY NO 58/B/ PAIKI, BETWEEN SUMANDEEP AND PARUL UNIVERSITY, OPPOSITE VNS HOSTEL AT DATTAPURA, P.O. LIMDA 391760, GUJARAT 391760",Vadodara,Gujarat,TIRTHANK RINDANI,9724340587,9724340587,tirthank@vrajconstruction.com,,Star Category,3 Star,19,26/08/2016,25/08/2021
270618AS4289,190324AS4625,"Courtyard Aravali Resort by Marriott, Faridabad","1, Village Pakhal, Faridabad, Haryana-121001 121001",Faridabad,Haryana,Manoj Naithani,9810875390,01146541400,manoj.naithani@mahanandahotels.com,www.ayushiandpoonamestatesllp.com,Star Category,4 Star With Alcohol,158,11/03/2019,10/03/2024
050815AS2537,0101012SA071,Red Fox Hotel - A Unit of Fleur Hotels Pvt. Ltd,"Village Ullahwas, Manesar Urban Complex, Sector -60, Gurgaon",Gurgaon,Haryana,Mayank Sharma,9891689456,46050101,mayank.sharma@lemontreehotels.com,lemontreehotels.com,Star Category,2 Star,154,04/12/2015,03/12/2020
050815AS3538,0101013SA072,Lemon Tree Hotel - A Unit of Fleur Hotels Pvt. Ltd.,"Village Ullahwas, Manesar Urban Complex, Sector -60, Gurgaon",Gurgaon,Haryana,Mayank Sharma,9891689456,46050101,mayank.sharma@lemontreehotels.com,lemontreehotels.com,Star Category,3 Star,104,04/12/2015,03/12/2020
280116AS3568,0101013SA204,Lemon Tree Premier,"287-289, City Center, Sector 29, Gurgaon 122001",Gurgaon,Haryana,Mayank Sharma,9891689456,46050101,mayank.sharma@lemontreehotels.com,www.lemontreehotels.com,Star Category,3 Star,61,26/04/2016,25/04/2021
090816AS4756,1610214SA002,Kasauli Sanawar Ramada Hotel,"Kh No. 494|492|5, 555|113|2, 1 & 539|2|2, Mauza Sanawar, Tehsil Kasauli, Distt. Solan, Himachal Pradesh",KASAULI,Himachal Pradesh,Mahesh Kumar Baliyan,9891506333,9891506333,hospitalityconsultantsindia@gmail.com,,Star Category,4 Star With Alcohol,72,17/10/2016,16/10/2021
171019ABS957,180120ABS114,HIM HOME STAY,VILLAGE ALEO  NEW MANALI  P.O MANALI DISTT KULLU HIMACHAL PRADESH 175131,Manali,Himachal Pradesh,JAI CHAND,9805110044,9805110044,jcthakur123@gmail.com,N/A,Bed&Breakfast/Homestay,B&B-Silver,4,29/01/2018,28/01/2020
161115AS3166,0101013SA170,de Exotica Crest - A Unit of Forest View Resort,"Near New PWD Rest house, Teh. Theog, Distt. Shimla. (H.P.) 171201",Shimla,Himachal Pradesh,Deepanshu Gautam,9816800900,9816800900,gautamdeepanshu92@gmail.com,www.deexoticacrest.com,Star Category,3 Star,16,09/03/2016,08/03/2021
311016AS3104,0101013SA004,ZION HOLIDAYS PRIVATE LIMITED,"Khasra No 1528/1463/704/1/2/1, New 453, At Mauja Badai, Pargana Jajhot, Teh. Shimla (Rural), Distt Shimla (H. P.). Regd. Office: Khasra No. 142, Near Deepan Hospital, Kapashera, New Delhi-110037 171010",Shimla,Himachal Pradesh,Mr. Sanjay Hanslas,9810293773,9810293773,sanjayh@zionexpress.com,,Star Category,3 Star,42,21/12/2016,20/12/2021
211219ABS662,180420ABS283,Khushala valley view,Village Panog po shoghi Disst and Teh Shimla H.P.171219 171219,Shimla,Himachal Pradesh,Manish shandilya,9882085000,01772661501,Khushalavalleyview@gmail.com,www khushalavalleyview.com,Bed&Breakfast/Homestay,B&B-Silver,6,18/04/2018,17/04/2020
031219ABS450,180320ABS242,Sai  Cottage,"KHAMBRAIL HOUSE,Mr, Ramesh Thakur,Sai COttage CHakrayal PO-KAMLANAGAR Shimla HP 171006 171006",Shimla,Himachal Pradesh,RAMESH,7355555270,7355555270,saicottagrshimla@gmail.com,https://www.himachalhospitality.com/,Bed&Breakfast/Homestay,B&B-Silver,6,27/03/2018,26/03/2020
210116AS5522,0101015SA236,Deventure Hotel and Resorts Private Limited,"Vill. Mauja Anji, Kandaghat, Distt Solan. H.P 173212",Solan,Himachal Pradesh,Sanjay Pruthi,9416392122,9896066263,cssanjaybansal@zeelab.co.in,www.deventurehotel.com,Star Category,5 Star With Alcohol,100,02/06/2016,01/06/2021
061117AS3435,180123AS3001,Holiday Inn Express and Suites,"Holiday Inn Express & Suites, Survey No. 49 (Part), Huskur Village, Bidarahalli Hobli, Bangalore East Taluk, Bengaluru-560049 560049",Bangalore,Karnataka,Saptarshi Pathak,7022623490,080-41379200,saptarshi@brigadegroup.com,www.brigadegroup.com,Star Category,3 Star,132,16/01/2018,15/01/2023
190716AS3584,0101013SA699,"Holiday Inn Express and Suites Bengaluru, Racecourse","16-1, Seshadri Road, Gandhi Nagar,  560009",Bangalore,Karnataka,Saptarshi Pathak,7022623490,91-80-40438000,saptarshi@brigadegroup.com,www.brigadegroup.com,Star Category,3 Star,275,12/09/2016,11/09/2021
040917AS4258,180623AS4231,HANSOGE ENTERPRISE PRIVATE LIMITED,"SURVEY NO.115,116,117,KANNAMANGALA,VILLAGE, DEVANHALLI TALUK BANGALORE,KARNATAKA PIN-562110 562110",Bangalore,Karnataka,USHA PARASURAM,9898278586,9824064766,usha.parasuram@ozonegroup.com,,Star Category,4 Star With Alcohol,174,11/06/2018,10/06/2023
141116AS5137,171222AS5012,Courtyard by Marriott by Trishul Buildtech and Infrastructures Private Limited,"Sy.No.55, BBMP Katha No. 165-55, Outer Ring Road, Nagawara Village, Kasaba Hobli, Bangalore North 560080",Bangalore,Karnataka,Anand Dilip Rai,7760976604,08049195100,avp.spn@groupmrg.com,www.groupmrg.com,Star Category,5 Star With Alcohol,184,29/12/2017,28/12/2022
310519AS5837,190624AS5802,Four Seasons Hotel By Embassy One Developers Pvt Ltd,"Municipal No.8 ,Ballary Road , Ganga Nagar , Bangalore , Karnataka 560032",Bangalore,Karnataka,Trishul R Shetty,9953266669,9953266669,trish9in@gmail.com,www.Embassyindia.com,Star Category,5 Star With Alcohol,230,28/06/2019,27/06/2024
150216AS5677,0101015SA707,Hilton Hotel,"No. 25-3, Kensington Road, Ulsoor, Near Ulsoor Lake, Bangalore. 560013",Bangalore,Karnataka,Mr. Zaid Sadiq,9902882947,08025591080,zaid@prestigeconstructions.com,www.prestigeconstructions.com,Star Category,5 Star With Alcohol,285,20/09/2016,19/09/2021
030418AS5915,190324AS5623,NOVOTEL HOTEL - BENGALURU (UNIT OF INTERGLOBE HOTELS PRIVATE LIMITED),"PID NO: 77-5-30-1, RAJARAM MOHAN ROY ROAD, WARD NO:77, (NEW NO:110), SAMPANGIRAMA NAGAR, BENGALURU  560027",Bangalore,Karnataka,LEO-LIONEL,9840961533,01244392926,leolionel@yahoo.com,www.interglobehotels.com,Star Category,5 Star With Alcohol,149,11/03/2019,10/03/2024
040216AS5620,0101015SA331,The Leela Bangalore,"Bhartiya City, 6-1& 6-2, Off Thanisadra Main Road, Hegde Nagar,, Bangalore  560064",Bangalore,Karnataka,Jaideep Singh,9886384943,08022534555,jaideep.singh@bhartiya.com,www.bhartiyacity.com,Star Category,5 Star With Alcohol,256,20/06/2016,19/06/2021
120218AS5717,180323AS5097,Viceroy Bangalore Hotels pvt ltd,"no 17 (1) Madhavnagar Extension, Race Course Loop lane Bangalore   560052",Bangalore,Karnataka,vagaram choudari,9916047895,09916047895,vagaram.choudari@gmail.com,,Star Category,5 Star With Alcohol,276,28/03/2018,27/03/2023
080616AS4240,0101014SA706,"FairField Marriott,Belgaum","132 - 7, 132 - 8, 132 - 9, Kakati, KIADB INDUSTRIAL AREA, GOGTE PLAZA, 591113",Belgaum,Karnataka,ARVIND GOGTE,9820852173,8312468917,gidc2007@gmail.com,gogteinfrastructure.com,Star Category,4 Star With Alcohol,114,20/09/2016,19/09/2021
230216AS5727,0101015SA330,The Fern,"CTS No. 483349, Sy No. 97522, Civil Hospital Road, Belgaum,  590010",Belgaum,Karnataka,Nikhi U Katti,9686698931,08312454343,nikhilkatti@gmail.com,,Star Category,5 Star With Alcohol,96,20/06/2016,19/06/2021
110417AS3527,170522AS3001,ARATT ESTATE,"ARATT ESTATES, SY. NO. 1129, KUMARALLI VILLAGE, SHANTHALLI REVENUE CIRCLE, SOMWARPET TALUK, KODAGU DISTRICT 571236",Coorg,Karnataka,BINEESH LUKOSE,9980512688,08048544688,BINEESH@ARATT.IN,,Star Category,3 Star,53,16/05/2017,15/05/2022
291017AS5418,180823AS5328,Paul Resorts  and Hotels Pvt Ltd,"Survey No. 814, Rockside Estate,Mekeri Village,Mekeri Post,Madikeri Taluk,Kodagu District.",Madikeri,Karnataka,Mr. Shelley Thayil,9900140768,9900140768,shelley@thepaul.in,,Star Category,5 Star With Alcohol,104,28/08/2018,27/08/2023
310718AS3377,200125AS3310,"Ibis Styles, Mysuru","17-2, Metagalli Village, Kasaba Hobli, K R S Road, Mysuru 570016",Mysore,Karnataka,Saptarshi Pathak,7022623490,08040438000,saptarshi@brigadegroup.com,www.brigadegroup.com,Star Category,3 Star,138,03/01/2020,02/01/2025
200719ASD290,160921ASD930,Hilton Hotel,Kensington Ulsoor 570007,Mysore,Karnataka,Mahesh.D>J,9902882947,9902882947,mahesh.dj@prestigeconstructions.com,www.prestigeconstructions.com,Star Category,5 Star Deluxe,285,20/09/2016,19/09/2021
100719AS4210,190924AS4963,EAST VENICE HOTELS AND RESORTS PVT LTD,"CIVIL STATION WARD, ALAPPUZHA 688012",Alappuzha,Kerala,T P SHAN,9895647800,0477-2242281,eastvenicehotel@gmail.com,www.eastvenicehotelsandresorts.com,Star Category,4 Star With Alcohol,42,01/10/2019,30/09/2024
040917AS3257,160121AS3002,IBIS HOTEL - COCHIN (UNIT OF INTERGLOBE HOTELS PRIVATE LIMITED),"Padma Junction,  M.G. Road, (Opposite City Hospital),Ernakulam – 682035,  Kerala 682035",Ernakulam,Kerala,LIONEL LEO,9840961533,0484-7137137,leolionel@yahoo.com,www.interglobehotels.com,Star Category,3 Star,115,14/01/2016,13/01/2021
161215AS3372,0101013SA095,IBIS HOTEL - COCHIN (UNIT OF INTERGLOBE HOTELS PRIVATE LIMITED),"PADMA JUNCTION,  M.G.ROAD, (OPPOSITE CITY HOSPITAL), ERNAKULAM - 682035 Ernakulam 682035",Ernakulam,Kerala,LIONEL LEO,9840961533,910484713713,leolionel@yahoo.com,www.interglobehotels.com,Star Category,3 Star,230,14/01/2016,13/01/2021
121217ASW532,180423ASW159,Khayal Hotels,"Infopark Expressway, Kakkanad, Ernakulam 682030",Ernakulam,Kerala,Shammeer M Azeez,9961356643,9961356643,info@khayalhotels.com,khayalhotels.com,Star Category,4 Star Without Alcohol,69,25/04/2018,24/04/2023
050618ASW227,180423ASW586,Khayal Hotels,"Infopark Expressway, Kakkanad, Ernakulam 682030",Ernakulam,Kerala,Shammeer M Azeez,9961356643,9961356643,info@khayalhotels.com,khayalhotels.com,Star Category,4 Star Without Alcohol,69,25/04/2018,24/04/2023
050618ASW228,180423ASW587,Khayal Hotels,"Infopark Expressway, Kakkanad, Ernakulam 682030",Ernakulam,Kerala,Shammeer M Azeez,9961356643,9961356643,info@khayalhotels.com,khayalhotels.com,Star Category,4 Star Without Alcohol,69,25/04/2018,24/04/2023
110618ASW238,180423ASW588,Khayal Hotels,"Infopark Expressway, Kakkanad, Ernakulam 682030",Ernakulam,Kerala,Shammeer M Azeez,9961356643,9961356643,info@khayalhotels.com,khayalhotels.com,Star Category,4 Star Without Alcohol,69,25/04/2018,24/04/2023
200618ASA272,180923ASA382,"PORT MUZIRIS KOCHI,A TRIBUTE PORTFOLIO HOTEL","V.I.P.ROAD.Near Cochin International Airport.Vappalassery.P.O.Nedumbassery,Cochin,Kerala 683590",Ernakulam,Kerala,Mathew Idikula Vilayil  Director,9846086132,04844187786,director@twenty14india.com,www.twenty14holdings.com,Star Category,5 Star Without Alcohol,56,26/09/2018,25/09/2023
070716ASD532,170422AS5001,"Four Points By Sheraton, Kochi Infopark","Block-9, Resurvey No. 601-8 part, 601-9 part, 601-11 part & 617-4 part. Infopark Expressway, Kusumagiri P.O, Kakkanad, Kochi-682030.  682030",Kochi,Kerala,Saptarshi Pathak,7022623490,080-41379200,saptarshi@brigadegroup.com,www.brigadegroup.com,Star Category,5 Star With Alcohol,212,18/04/2017,17/04/2022
080819AS4438,191024AS4994,ANDREA REGENCY,MANJALLOOR PATHANAPURAM P O 689695,Kollam,Kerala,ARCH ANTONY,9895647800,0475-2966666,archyantony@gmail.com,www.andrearegency.in,Star Category,4 Star With Alcohol,11,10/10/2019,09/10/2024
310719AS4380,190924AS4960,HOTEL GREEN FORT,"SANTHALAYAM JN, MANAKKARA, BHARANIKAVU, SASTHAMKOTTA 690521",Kollam,Kerala,SIVAKUMAR R,9895647800,0474-2455620,sivakumarrpillai@gmail.com,www.hotelgreenfort.in,Star Category,4 Star With Alcohol,12,01/10/2019,30/09/2024
090419ASW488,190524ASW757,THE ESQUIRE PARK,"Ivarkala West North, Puthenambalam .P.O, Kunnathur, Kollam. 691553",Kollam,Kerala,Joseph Prince,9895173854,0479-2383963,hotelesquirepark@gmail.com,www.esquireinn.in,Star Category,4 Star Without Alcohol,12,28/05/2019,27/05/2024
250615AS3250,1501203SA001,VARSHA INTERNATIONAL RESIDENCY,"ROYAL GOLF HOTELS INDIA PVT LTD,(HOTEL VARSHA INTERNATIONAL RESIDENCY),MANJOOR P O ,KURUPPANTHARA,KOTTAYAM  686603",Kottayam,Kerala,SAJITHKUMAR K S,9645525559,9645525559,hotelvarshaktym@gmail.com,www.varshainternationalresidency.com,Star Category,3 Star,15,21/01/2015,20/01/2020
010216AS5590,0101015SA219,Niraamaya Retreats Kumarkom Pvt. Ltd.,"Survey No.3005,3006-5,3017-4,301 Kumarkom Kottayam - 686563 686563",Kottayam,Kerala,SANJAY TIWARI,9824064766,9824064766,dheshipping@vsnl.net,www.niraamaya.in,Star Category,5 Star With Alcohol,36,06/05/2016,05/05/2021
231217ASW557,180323ASW053,APOLLO DIMORA CALICUT,"(A UNIT OF APOLLO SHOPING MALL LIMITED LIABILITY PARTNERSHIP) , APOLLO TOWER, OPP. SAROVAROM PARK, ERANHIPALAM.P.O, KOZHIKODE-673006 673006",Kozhikode,Kerala,ABDURAHIMAN KOOLATH,9947052461,04952771005,dimoracalicut@gmail.com,www.apollodimora.com,Star Category,4 Star Without Alcohol,85,13/03/2018,12/03/2023
101216ASW221,171122ASW002,Woodbine Hospitality and Resorts Pvt. Ltd,"Kavungal By-Pass road, Munduparamba (P.O), Opp. Hotel Surya, Malappuram, Eranadu. Pin. 676509., Ph. 0483 27622777. 676505",Malappuram,Kerala,Dharmar Murugiah,9446227691,04832762777,meenaiyer@redifmail.com,,Star Category,4 Star Without Alcohol,26,30/11/2017,29/11/2022
241116AS5174,0101015SA033,ELIXIR HILLS,"ELIXIR HILLS   ROOM NO.110-357J,DEEP WOODS RESORT.PULIMOOTTIL ESTATE,MANKULAM ROAD,MUNNAR, IDUKKI DIST, KERALA 685612",Munnar,Kerala,LUKE STEPHEN,9846086132,9846819126,luke.jose@gmail.com,,Star Category,5 Star With Alcohol,44,17/01/2017,16/01/2022
051019AS4852,191024AS4101,URBAN INN (Owned by KL-3 Urban Inn Pvt Ltd),"URBAN INN (Owned by KL-3 Urban Inn Pvt Ltd), Elavaumthitta PO, Pathanamthitta, Kerala. 689625 689625",Pathanamthitta,Kerala,T V PUSHPANGATHAN,9895647800,04682258266,urban.inn.pta@gmail.com,www.urbaninn.com,Star Category,4 Star With Alcohol,11,16/10/2019,15/10/2024
